sensor,product,scene_id,epoch,acquired_utc,acquired_local,capture_start,capture_end,date_precision,relative_orbit,orbit_direction,polarizations,burst_id,cloud_cover_pct,valid_pixel_count,valid_fraction,coverage_fraction,footprint,source_url,asset_urls,source_group,tile_id,vertical_datum,native_resolution_m,processing_signature,flags
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T008-016943-IW1_20230209T065936Z_20250122T082130Z_S1A_30_v1.0,pre,2023-02-09T06:59:36+00:00,2023-02-09T19:59:36+13:00,,,,8.0,ASCENDING,"VV,VH",T008_016943_IW1,,,,0.0046208783825181,"{""type"": ""Polygon"", ""coordinates"": [[[176.435, -39.217], [176.93096, -39.10344], [177.39733, -38.99437], [177.34045, -38.83039], [176.3755, -39.05368], [176.435, -39.217]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016943-IW1_20230209T065936Z_20250122T082130Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016943-IW1_20230209T065936Z_20250122T082130Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016943-IW1_20230209T065936Z_20250122T082130Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016943-IW1_20230209T065936Z_20250122T082130Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016943-IW1_20230209T065936Z_20250122T082130Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T008-016942-IW1_20230209T065934Z_20250122T082130Z_S1A_30_v1.0,pre,2023-02-09T06:59:34+00:00,2023-02-09T19:59:34+13:00,,,,8.0,ASCENDING,"VV,VH",T008_016942_IW1,,,,0.6455903260952981,"{""type"": ""Polygon"", ""coordinates"": [[[176.49196, -39.38106], [176.99049, -39.26693], [177.45605, -39.15809], [177.39733, -38.99437], [176.435, -39.217], [176.49196, -39.38106]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016942-IW1_20230209T065934Z_20250122T082130Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016942-IW1_20230209T065934Z_20250122T082130Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016942-IW1_20230209T065934Z_20250122T082130Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016942-IW1_20230209T065934Z_20250122T082130Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016942-IW1_20230209T065934Z_20250122T082130Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T008-016941-IW1_20230209T065931Z_20250122T082130Z_S1A_30_v1.0,pre,2023-02-09T06:59:31+00:00,2023-02-09T19:59:31+13:00,,,,8.0,ASCENDING,"VV,VH",T008_016941_IW1,,,,0.3525828634689607,"{""type"": ""Polygon"", ""coordinates"": [[[176.54402, -39.54652], [177.04832, -39.43112], [177.51858, -39.32119], [177.45605, -39.15809], [176.49196, -39.38106], [176.54402, -39.54652]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016941-IW1_20230209T065931Z_20250122T082130Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016941-IW1_20230209T065931Z_20250122T082130Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016941-IW1_20230209T065931Z_20250122T082130Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016941-IW1_20230209T065931Z_20250122T082130Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016941-IW1_20230209T065931Z_20250122T082130Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T175-375056-IW2_20230208T172231Z_20250122T065821Z_S1A_30_v1.0,pre,2023-02-08T17:22:31+00:00,2023-02-09T06:22:31+13:00,,,,175.0,DESCENDING,"VV,VH",T175_375056_IW2,,,,0.4801786007267154,"{""type"": ""Polygon"", ""coordinates"": [[[177.6347, -39.49196], [176.60834, -39.24469], [176.54215, -39.40668], [177.57182, -39.65477], [177.6347, -39.49196]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375056-IW2_20230208T172231Z_20250122T065821Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375056-IW2_20230208T172231Z_20250122T065821Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375056-IW2_20230208T172231Z_20250122T065821Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375056-IW2_20230208T172231Z_20250122T065821Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375056-IW2_20230208T172231Z_20250122T065821Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T175-375055-IW2_20230208T172228Z_20250122T065821Z_S1A_30_v1.0,pre,2023-02-08T17:22:28+00:00,2023-02-09T06:22:28+13:00,,,,175.0,DESCENDING,"VV,VH",T175_375055_IW2,,,,0.5198213992733625,"{""type"": ""Polygon"", ""coordinates"": [[[177.69731, -39.32911], [176.67134, -39.08193], [176.60834, -39.24469], [177.6347, -39.49196], [177.69731, -39.32911]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375055-IW2_20230208T172228Z_20250122T065821Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375055-IW2_20230208T172228Z_20250122T065821Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375055-IW2_20230208T172228Z_20250122T065821Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375055-IW2_20230208T172228Z_20250122T065821Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375055-IW2_20230208T172228Z_20250122T065821Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T073-155964-IW1_20230201T173035Z_20250121T132051Z_S1A_30_v1.0,pre,2023-02-01T17:30:35+00:00,2023-02-02T06:30:35+13:00,,,,73.0,DESCENDING,"VV,VH",T073_155964_IW1,,,,0.0027909958063696,"{""type"": ""Polygon"", ""coordinates"": [[[176.72623, -39.10087], [175.71385, -38.86645], [175.64792, -39.02842], [176.67189, -39.26551], [176.72623, -39.10087]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T073-155964-IW1_20230201T173035Z_20250121T132051Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T073-155964-IW1_20230201T173035Z_20250121T132051Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T073-155964-IW1_20230201T173035Z_20250121T132051Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T073-155964-IW1_20230201T173035Z_20250121T132051Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T073-155964-IW1_20230201T173035Z_20250121T132051Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T008-016943-IW1_20230128T065937Z_20250121T015402Z_S1A_30_v1.0,pre,2023-01-28T06:59:37+00:00,2023-01-28T19:59:37+13:00,,,,8.0,ASCENDING,"VV,VH",T008_016943_IW1,,,,0.0043823995448655,"{""type"": ""Polygon"", ""coordinates"": [[[176.43548, -39.21661], [176.92983, -39.10341], [177.39615, -38.99435], [177.33916, -38.83012], [176.37435, -39.0534], [176.43548, -39.21661]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016943-IW1_20230128T065937Z_20250121T015402Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016943-IW1_20230128T065937Z_20250121T015402Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016943-IW1_20230128T065937Z_20250121T015402Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016943-IW1_20230128T065937Z_20250121T015402Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016943-IW1_20230128T065937Z_20250121T015402Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T008-016942-IW1_20230128T065935Z_20250121T015402Z_S1A_30_v1.0,pre,2023-01-28T06:59:35+00:00,2023-01-28T19:59:35+13:00,,,,8.0,ASCENDING,"VV,VH",T008_016942_IW1,,,,0.6453045165821129,"{""type"": ""Polygon"", ""coordinates"": [[[176.49095, -39.38114], [176.98941, -39.26703], [177.45491, -39.15819], [177.39615, -38.99435], [176.43548, -39.21661], [176.49095, -39.38114]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016942-IW1_20230128T065935Z_20250121T015402Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016942-IW1_20230128T065935Z_20250121T015402Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016942-IW1_20230128T065935Z_20250121T015402Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016942-IW1_20230128T065935Z_20250121T015402Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016942-IW1_20230128T065935Z_20250121T015402Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T008-016941-IW1_20230128T065932Z_20250121T015402Z_S1A_30_v1.0,pre,2023-01-28T06:59:32+00:00,2023-01-28T19:59:32+13:00,,,,8.0,ASCENDING,"VV,VH",T008_016941_IW1,,,,0.3531068682876777,"{""type"": ""Polygon"", ""coordinates"": [[[176.54297, -39.54649], [177.04719, -39.4311], [177.5174, -39.32117], [177.45491, -39.15819], [176.49095, -39.38114], [176.54297, -39.54649]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016941-IW1_20230128T065932Z_20250121T015402Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016941-IW1_20230128T065932Z_20250121T015402Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016941-IW1_20230128T065932Z_20250121T015402Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016941-IW1_20230128T065932Z_20250121T015402Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T008-016941-IW1_20230128T065932Z_20250121T015402Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T175-375056-IW2_20230127T172232Z_20250121T002912Z_S1A_30_v1.0,pre,2023-01-27T17:22:32+00:00,2023-01-28T06:22:32+13:00,,,,175.0,DESCENDING,"VV,VH",T175_375056_IW2,,,,0.4806698068182255,"{""type"": ""Polygon"", ""coordinates"": [[[177.63245, -39.4913], [176.60604, -39.24401], [176.53979, -39.40612], [177.56951, -39.65423], [177.63245, -39.4913]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375056-IW2_20230127T172232Z_20250121T002912Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375056-IW2_20230127T172232Z_20250121T002912Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375056-IW2_20230127T172232Z_20250121T002912Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375056-IW2_20230127T172232Z_20250121T002912Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T175-375056-IW2_20230127T172232Z_20250121T002912Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
