sensor,product,scene_id,epoch,acquired_utc,acquired_local,capture_start,capture_end,date_precision,relative_orbit,orbit_direction,polarizations,burst_id,cloud_cover_pct,valid_pixel_count,valid_fraction,coverage_fraction,footprint,source_url,asset_urls,source_group,tile_id,vertical_datum,native_resolution_m,processing_signature,flags
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T081-173738-IW3_20230121T070743Z_20250120T081453Z_S1A_30_v1.0,pre,2023-01-21T07:07:43+00:00,2023-01-21T20:07:43+13:00,,,,81.0,ASCENDING,"VV,VH",T081_173738_IW3,,,,0.1389992205461188,"{""type"": ""Polygon"", ""coordinates"": [[[176.45859, -39.26615], [176.91482, -39.15301], [177.35328, -39.04225], [177.28938, -38.87974], [176.39475, -39.1036], [176.45859, -39.26615]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173738-IW3_20230121T070743Z_20250120T081453Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173738-IW3_20230121T070743Z_20250120T081453Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173738-IW3_20230121T070743Z_20250120T081453Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173738-IW3_20230121T070743Z_20250120T081453Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173738-IW3_20230121T070743Z_20250120T081453Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T081-173738-IW3_20230214T070742Z_20250122T211513Z_S1A_30_v1.0,post,2023-02-14T07:07:42+00:00,2023-02-14T20:07:42+13:00,,,,81.0,ASCENDING,"VV,VH",T081_173738_IW3,,,,0.140366685507522,"{""type"": ""Polygon"", ""coordinates"": [[[176.45976, -39.2662], [176.91599, -39.15305], [177.35446, -39.04227], [177.2905, -38.87964], [176.39587, -39.10353], [176.45976, -39.2662]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173738-IW3_20230214T070742Z_20250122T211513Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173738-IW3_20230214T070742Z_20250122T211513Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173738-IW3_20230214T070742Z_20250122T211513Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173738-IW3_20230214T070742Z_20250122T211513Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173738-IW3_20230214T070742Z_20250122T211513Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T081-173737-IW3_20230121T070740Z_20250120T081453Z_S1A_30_v1.0,pre,2023-01-21T07:07:40+00:00,2023-01-21T20:07:40+13:00,,,,81.0,ASCENDING,"VV,VH",T081_173737_IW3,,,,0.67818768239808,"{""type"": ""Polygon"", ""coordinates"": [[[176.51782, -39.42961], [176.978, -39.31549], [177.41857, -39.20418], [177.35328, -39.04225], [176.45859, -39.26615], [176.51782, -39.42961]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173737-IW3_20230121T070740Z_20250120T081453Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173737-IW3_20230121T070740Z_20250120T081453Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173737-IW3_20230121T070740Z_20250120T081453Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173737-IW3_20230121T070740Z_20250120T081453Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173737-IW3_20230121T070740Z_20250120T081453Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,OPERA_RTC,OPERA_L2_RTC-S1_T081-173737-IW3_20230214T070739Z_20250122T211513Z_S1A_30_v1.0,post,2023-02-14T07:07:39+00:00,2023-02-14T20:07:39+13:00,,,,81.0,ASCENDING,"VV,VH",T081_173737_IW3,,,,0.6774520861026924,"{""type"": ""Polygon"", ""coordinates"": [[[176.51895, -39.42954], [176.97913, -39.3154], [177.41971, -39.20408], [177.35446, -39.04227], [176.45976, -39.2662], [176.51895, -39.42954]]]}",https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173737-IW3_20230214T070739Z_20250122T211513Z_S1A_30_v1.0.h5,"[""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173737-IW3_20230214T070739Z_20250122T211513Z_S1A_30_v1.0.iso.xml"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173737-IW3_20230214T070739Z_20250122T211513Z_S1A_30_v1.0_VH.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173737-IW3_20230214T070739Z_20250122T211513Z_S1A_30_v1.0_VV.tif"", ""https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T081-173737-IW3_20230214T070739Z_20250122T211513Z_S1A_30_v1.0_mask.tif""]",,,,30.0,OPERA_RTC_V1,
sentinel1,S1_GRD,S1A_IW_GRDH_1SDV_20230121T070737_20230121T070802_046878_059F11_60E1,pre,2023-01-21T07:07:37+00:00,2023-01-21T20:07:37+13:00,,,,81.0,ASCENDING,"VV,VH",,,,,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[174.116058, -38.594372], [174.660294, -40.075928], [177.515228, -39.389305], [176.91748, -37.920803], [174.116058, -38.594372]]]}",https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230121T070737_20230121T070802_046878_059F11_60E1.zip,[],,,,,unprocessed_GRD,requires_HyP3_processing
sentinel1,S1_GRD,S1A_IW_GRDH_1SDV_20230214T070736_20230214T070801_047228_05AAC4_9F82,post,2023-02-14T07:07:36+00:00,2023-02-14T20:07:36+13:00,,,,81.0,ASCENDING,"VV,VH",,,,,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[174.117081, -38.594322], [174.661377, -40.075871], [177.516724, -39.389069], [176.918915, -37.920578], [174.117081, -38.594322]]]}",https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20230214T070736_20230214T070801_047228_05AAC4_9F82.zip,[],,,,,unprocessed_GRD,requires_HyP3_processing
sentinel2,SR,COPERNICUS/S2_SR_HARMONIZED/20230115T221559_20230115T221600_T60HVB,pre,2023-01-15T22:16:54.814000+00:00,2023-01-16T11:16:54.814000+13:00,,,,,,,,16.303612,2124496.501960779,0.7952166372451548,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[175.84714293159237, -38.84275705980832], [175.8471418381438, -38.84276832900663], [175.83906156786918, -39.337292988360915], [175.83077981143455, -39.83177414731691], [175.83082676624267, -39.831816043228166], [175.83086645513256, -39.831862146601296], [175.83088567454485, -39.83186518731405], [177.11383631776104, -39.83770025961583], [177.11389022862915, -39.837663627488425], [177.1139496980328, -39.83763246766105], [177.1139533530001, -39.837617731513], [177.1123582376416, -38.848403749812476], [177.11231125448447, -38.84836234524304], [177.11227120073525, -38.84831664836885], [177.11225223991823, -38.84831386992349], [175.84725883701023, -38.84267946656831], [175.8472050238124, -38.84271554322321], [175.8471458214206, -38.84274601359084], [175.84714293159237, -38.84275705980832]]]}",https://code.earthengine.google.com/?asset=COPERNICUS/S2_SR_HARMONIZED/20230115T221559_20230115T221600_T60HVB,,COPERNICUS/S2_SR_HARMONIZED,,,10.0,COPERNICUS/S2_SR_HARMONIZED,
sentinel2,SR,COPERNICUS/S2_SR_HARMONIZED/20230120T221601_20230120T221559_T60HVB,pre,2023-01-20T22:16:53.344000+00:00,2023-01-21T11:16:53.344000+13:00,,,,,,,,54.674554,248311.54117647064,0.09294506655166063,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[175.84714293159237, -38.84275705980832], [175.8471418381438, -38.84276832900663], [175.83906156786918, -39.337292988360915], [175.83077981143455, -39.83177414731691], [175.83082676624267, -39.831816043228166], [175.83086645513256, -39.831862146601296], [175.83088567454485, -39.83186518731405], [177.11383631776104, -39.83770025961583], [177.11389022862915, -39.837663627488425], [177.1139496980328, -39.83763246766105], [177.1139533530001, -39.837617731513], [177.1123582376416, -38.848403749812476], [177.11231125448447, -38.84836234524304], [177.11227120073525, -38.84831664836885], [177.11225223991823, -38.84831386992349], [175.84725883701023, -38.84267946656831], [175.8472050238124, -38.84271554322321], [175.8471458214206, -38.84274601359084], [175.84714293159237, -38.84275705980832]]]}",https://code.earthengine.google.com/?asset=COPERNICUS/S2_SR_HARMONIZED/20230120T221601_20230120T221559_T60HVB,,COPERNICUS/S2_SR_HARMONIZED,,,10.0,COPERNICUS/S2_SR_HARMONIZED,
sentinel2,SR,COPERNICUS/S2_SR_HARMONIZED/20230125T221559_20230125T221602_T60HVB,pre,2023-01-25T22:16:56.152000+00:00,2023-01-26T11:16:56.152000+13:00,,,,,,,,36.419308,2024171.6078431315,0.7576641984161997,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[175.84714293159237, -38.84275705980832], [175.8471418381438, -38.84276832900663], [175.83906156786918, -39.337292988360915], [175.83077981143455, -39.83177414731691], [175.83082676624267, -39.831816043228166], [175.83086645513256, -39.831862146601296], [175.83088567454485, -39.83186518731405], [177.11383631776104, -39.83770025961583], [177.11389022862915, -39.837663627488425], [177.1139496980328, -39.83763246766105], [177.1139533530001, -39.837617731513], [177.1123582376416, -38.848403749812476], [177.11231125448447, -38.84836234524304], [177.11227120073525, -38.84831664836885], [177.11225223991823, -38.84831386992349], [175.84725883701023, -38.84267946656831], [175.8472050238124, -38.84271554322321], [175.8471458214206, -38.84274601359084], [175.84714293159237, -38.84275705980832]]]}",https://code.earthengine.google.com/?asset=COPERNICUS/S2_SR_HARMONIZED/20230125T221559_20230125T221602_T60HVB,,COPERNICUS/S2_SR_HARMONIZED,,,10.0,COPERNICUS/S2_SR_HARMONIZED,
sentinel2,SR,COPERNICUS/S2_SR_HARMONIZED/20230204T221559_20230204T221601_T60HVB,pre,2023-02-04T22:16:55.614000+00:00,2023-02-05T11:16:55.614000+13:00,,,,,,,,45.429805,2039858.8666666604,0.7635360693266613,0.9999999999999984,"{""type"": ""Polygon"", ""coordinates"": [[[175.84714293159237, -38.84275705980832], [175.8471418381438, -38.84276832900663], [175.83906156786918, -39.337292988360915], [175.83077981143455, -39.83177414731691], [175.83082676624267, -39.831816043228166], [175.83086645513256, -39.831862146601296], [175.83088567454485, -39.83186518731405], [177.11383631776104, -39.83770025961583], [177.11389022862915, -39.837663627488425], [177.1139496980328, -39.83763246766105], [177.1139533530001, -39.837617731513], [177.1123582376416, -38.848403749812476], [177.11231125448447, -38.84836234524304], [177.11227120073525, -38.84831664836885], [177.11225223991823, -38.84831386992349], [175.84725883701023, -38.84267946656831], [175.8472050238124, -38.84271554322321], [175.8471458214206, -38.84274601359084], [175.84714293159237, -38.84275705980832]]]}",https://code.earthengine.google.com/?asset=COPERNICUS/S2_SR_HARMONIZED/20230204T221559_20230204T221601_T60HVB,,COPERNICUS/S2_SR_HARMONIZED,,,10.0,COPERNICUS/S2_SR_HARMONIZED,
